first,second,third,fourth,fifth,sixth
1,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
7,0,0,0,0,0
6,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
7,0,0,0,0,0
6,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
7,0,0,0,0,0
7,0,0,0,0,0
6,0,0,0,0,0
2,0,0,0,0,0
1,4,5,4,0,0
1,5,4,5,0,0
1,0,5,5,0,0
1,5,5,0,0,0
1,4,4,0,0,0
5,5,4,0,0,0
5,4,0,0,0,0
4,5,5,0,0,0
5,5,5,0,0,0
4,4,0,0,0,0
1,0,4,4,0,0
5,5,0,0,0,0
1,0,0,0,0,0
1,4,5,4,0,0
1,4,4,5,0,0
1,5,0,0,0,0
1,0,4,4,0,0
1,4,5,5,4,0
5,4,5,0,0,0
1,0,4,4,0,0
2,6,7,6,0,0
2,7,6,6,0,0
2,0,7,0,0,0
2,7,7,0,0,0
2,6,6,0,0,0
2,0,0,0,0,0
7,6,6,0,0,0
6,7,7,0,0,0
6,7,7,0,0,0
6,6,0,0,0,0
2,0,6,6,0,0
7,7,0,6,0,0
2,0,0,0,0,0
2,6,7,6,0,0
6,6,6,7,0,0
6,7,0,0,0,0
6,0,6,6,0,0
2,6,7,7,6,0
6,6,7,0,0,0
6,6,7,0,0,0
8,0,0,0,0,0
8,0,0,0,0,0
8,8,0,0,0,0
8,0,0,0,0,0
8,0,0,0,0,0
8,0,0,0,0,0
8,0,0,0,0,0
8,6,0,0,0,0
8,0,0,0,0,0
8,0,0,0,0,0
8,0,0,0,0,0
8,0,0,0,0,0
8,0,0,0,0,0
8,7,0,0,0,0
8,5,0,0,0,0
8,0,0,0,0,0
8,0,0,0,0,0
8,0,0,0,0,0
8,0,0,0,0,0
8,8,0,0,0,0
9,10,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,9,0,0,0,0
9,10,0,0,0,0
0,0,0,0,0,0
10,0,0,0,0,0
10,10,0,0,0,0
9,10,10,0,0,0
9,10,0,0,0,0
9,9,0,0,0,0
9,0,0,0,0,0
0,10,0,0,0,0
9,10,0,0,0,0
9,10,0,0,0,0
9,9,0,0,0,0
9,0,0,0,0,0
9,10,0,0,0,0
9,10,0,0,0,0
9,10,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
