,Intent_prob
0,0.24269671594878378
1,0.18819335006059923
2,0.18076624973419964
10,0.2850130023254047
11,0.27549783056916044
12,0.22313079867890495
13,0.028704469992281073
14,0.0455819881277014
15,0.054346122476876944
16,0.06467549879331691
17,0.05235048728659248
18,0.1788579448340631
19,0.16318934131038002
20,0.02639598919745919
21,0.006788261308165287
22,0.14559858408741547
23,0.14559931260844147
24,0.025109068331661998
25,0.02491489356754953
26,0.0253439316784004
27,0.19687054093324333
28,0.35009908297475223
29,0.0011786690675500314
30,0.0023394731057869976
31,0.0007567662176900726
32,0.0010090646900480884
33,0.002255159294019608
34,0.006834769379487777
35,0.1490429539470767
36,0.3444801430867723
37,0.15290616627605647
38,0.02511772746509387
39,0.14705983678821516
40,0.0010278142542354454
41,0.0023060508338870723
42,0.00669344234365117
43,0.0022666737530622136
44,0.024409153835655832
45,0.006729001253399216
46,0.0010188727242048683
47,0.0010223001794909688
48,0.001024607781432404
49,0.0007962054708368413
50,0.0008022822294341035
51,0.0008022789407693787
52,0.0007997751862772716
53,0.0008016007143408061
54,0.0007991287444904587
55,0.0007989608835130798
56,0.000800681102055426
57,0.13277828038211043
58,0.0016025125893626034
59,0.004280962911022642
60,0.0015719413326458452
61,0.007447805387341788
62,0.0019263569584317874
63,0.0014353161504748514
64,0.0027134890421143315
65,0.0010818753152616286
66,0.0011843073052925505
67,0.00671640156331837
68,0.010496581722422287
69,0.011062233448156378
70,0.010486980219410774
71,0.010470855276792663
72,0.01053541479692143
73,0.010510922335223691
74,0.010944397700634156
75,0.007270291016034219
76,0.004302201779558845
77,0.026359053989065975
78,0.028951893944223223
79,0.03466607680131765
80,0.025230837114419567
81,0.025885952447705467
82,0.028555329607315685
83,0.02682516215773295
84,0.0165321069010964
85,0.0010732692712944142
86,0.003347427336981123
87,0.0034453954624395554
88,0.006558775152372566
89,0.010582264369747796
90,0.010637303413154265
91,0.011853978497169605
92,0.023483712888886128
93,0.06387032480102886
94,0.07387164546591256
95,0.07532224482657902
96,0.07961952017211904
97,0.08306561571230153
98,0.0756331983497196
99,0.06898076459945972
100,0.06190950499827105
101,0.0660927571421318
102,0.054897787737662955
103,0.0008028549429883281
104,0.0008006378068372845
105,0.0008001859208408041
106,0.0008019391901723205
107,0.0008015383844958687
108,0.0007229502921711489
109,0.0007511710092432198
110,0.025683327840104048
111,0.08276214401007496
112,0.22640806186284476
114,0.3655399349396958
115,0.3918971076931157
117,0.40156888382092426
118,0.400494851451893
119,0.38893993324314996
121,0.3765269312223054
122,0.18988262061463101
125,0.39543781036089115
126,0.007959707424712234
127,0.3488053451452559
128,0.02487514308027485
129,0.025406041454351738
130,0.3497443640652034
131,0.3769439918629604
132,0.3769439918629604
133,0.3767685053173501
134,0.3766630509140628
135,0.024451714970258106
136,0.0008248091596107913
137,0.000882143918001498
138,0.0014964168115164742
139,0.013001894793390272
140,0.0015821595732609097
141,0.0018862430449996129
142,0.0014946099579073021
143,0.0012675216991802209
144,0.011810787613815307
145,0.02071069583233169
146,0.05374061855183496
147,0.11579900688813269
148,0.17464515721126533
149,0.16837853463719876
150,0.15289019386080055
151,0.17247974101472313
152,0.1633932714920578
153,0.15863729588402695
154,0.13822358746075744
155,0.11875211281851335
156,0.11968846082397386
157,0.10780863716859829
158,0.11723811958751613
159,0.10618007214475633
160,0.08427495623120569
161,0.05540807544832531
162,0.045686926320702696
163,0.048225897759503984
164,0.04892192131656859
165,0.06489453165880775
166,0.04221801167689811
167,0.03680988192014409
168,0.05022565210447573
169,0.05226941026632896
170,0.06622008003841123
171,0.15752568585393786
172,0.015901488488806938
173,0.0011727272224206608
174,0.0013536533568892794
175,0.0034327337829888676
176,0.014158628853082705
177,0.0008079567512646676
178,0.0008008719112015784
179,0.0008015242245391607
180,0.19973492932310705
181,0.09565792535847953
182,0.07203414157753221
183,0.11444437522320315
184,0.18726472230462743
185,0.2313178827236616
186,0.2512720596824471
187,0.2887269696578774
188,0.3057531173479553
189,0.20863466522643298
190,0.1937389139697177
191,0.13427871988879758
192,0.0007254965601954358
193,0.38505847021419437
194,0.28977687229815974
195,0.33019313492993696
196,0.3136772798202193
197,0.37015154299049147
198,0.3481269692019091
199,0.32790383439773985
200,0.32134455935906303
201,0.2729023038612429
202,0.29141120184420166
203,0.32651079449957404
204,0.26818529782039313
205,0.20682543740650564
206,0.32650013776689873
207,0.1091215046906256
208,0.06951480230565825
209,0.03694251461642901
210,0.001036980459280581
211,0.0023696233507003923
212,0.0022852663199920643
213,0.001017981440275977
214,0.0010567536478690567
215,0.0022852991026809993
216,0.024791090645642572
217,0.006734697653164993
218,0.14015206677698328
219,0.14438690529752932
220,0.026708470932943165
221,0.024656916810724402
222,0.006795524981970283
223,0.001012866277257138
224,0.14275035507981007
225,0.14908119641741852
226,0.14908118906801318
227,0.1428822756420379
228,0.024673924871774357
229,0.024673924871774357
230,0.001039123118220172
231,0.0023695325687689587
232,0.0010379777623754842
233,0.002241758983119715
234,0.025977224097944254
235,0.025446785868856788
236,0.006685143277481093
237,0.025832565586397634
238,0.024967144826490636
239,0.006874057679412169
240,0.3467124746472291
241,0.13554676914759886
242,0.002330936026475388
243,0.02533921505175846
244,0.025338568182490067
245,0.025000278582161087
246,0.002266421849137937
247,0.002273566913944664
248,0.0023236071742326636
249,0.024369714512903408
250,0.001007903360545101
251,0.002268073608289309
252,0.002184384916380395
253,0.0007506246831515046
254,0.02470871056527996
255,0.006470079418825044
256,0.0010095555345790031
257,0.0007503757773859611
258,0.0008054443110583138
259,0.0008010768375447905
260,0.000802271255946209
261,0.0008022855453969327
262,0.0008006815173068145
263,0.0007994516471048694
264,0.0008027385645934279
265,0.0008083800343253389
266,0.0008010020019853473
267,0.0008083866041600149
268,0.0008024229826466988
269,0.0008213886857828072
270,0.0008213886857828072
271,0.0007821060778881044
272,0.0008503871669007504
273,0.0007825624326218771
274,0.0007817553607894959
275,0.0013910753758630337
276,0.0013910753758630337
277,0.010269722663394909
278,0.010270260688261004
279,0.010270231423914087
280,0.010270231423914087
281,0.010270260687375783
282,0.01027026068743099
283,0.0102697269383493
284,0.010270230434919125
285,0.010270260651394776
286,0.010270230064214124
287,0.010270259358485965
288,0.010270259374283575
289,0.010270260654128813
290,0.010270260688250344
291,0.010270260687519274
292,0.01027025949540639
293,0.010270259543004607
294,0.010270236647322564
295,0.010270236647322564
296,0.010270305862814145
297,0.010270309795756098
298,0.010276439109433724
299,0.010298725952888726
300,0.009037140430052083
301,0.0903457386175216
302,0.11952883661723465
303,0.1464458983379045
304,0.1425024536857774
305,0.12102109257675368
306,0.1239990438790175
307,0.09558921330281062
308,0.0015607910080550316
309,0.0007899925575519696
310,0.026856049586389125
313,0.37771734420823366
314,0.37767585949833227
315,0.3778414455710269
316,0.3783970585855642
317,0.19000319758848944
318,0.039456308560241245
319,0.010272873996054538
320,0.010270396148252463
321,0.010270508854478515
322,0.010270476886483797
323,0.010270365540180626
324,0.22640806186284476
325,0.3655399349396958
326,0.3918971076931157
327,0.40156888382092426
328,0.400494851451893
329,0.38893993324314996
330,0.3765269312223054
331,0.18988262061463101
332,0.010270305862814145
333,0.010270309795756098
334,0.010276439109433724
335,0.010298725952888726
336,0.009037140430052083
337,0.0903457386175216
338,0.11952883661723465
339,0.1464458983379045
340,0.1425024536857774
341,0.12102109257675368
342,0.1239990438790175
343,0.09558921330281062
344,0.0015607910080550316
345,0.0007899925575519696
346,0.026856049586389125
347,0.37771734420823366
348,0.37767585949833227
349,0.3778414455710269
350,0.3783970585855642
351,0.010270305862814145
352,0.010270309795756098
353,0.010276439109433724
354,0.010298725952888726
355,0.009037140430052083
356,0.0903457386175216
357,0.11952883661723465
358,0.1464458983379045
359,0.1425024536857774
360,0.12102109257675368
361,0.1239990438790175
362,0.09558921330281062
363,0.0015607910080550316
364,0.0007899925575519696
365,0.026856049586389125
366,0.37771734420823366
367,0.37767585949833227
368,0.3778414455710269
369,0.3783970585855642
370,0.19973492932310705
371,0.09565792535847953
372,0.07203414157753221
373,0.11444437522320315
374,0.18726472230462743
375,0.2313178827236616
376,0.2512720596824471
377,0.2887269696578774
378,0.3057531173479553
379,0.20863466522643298
380,0.19973492932310705
381,0.09565792535847953
382,0.07203414157753221
383,0.11444437522320315
384,0.18726472230462743
385,0.2313178827236616
386,0.2512720596824471
387,0.2887269696578774
388,0.3057531173479553
389,0.20863466522643298
390,0.19973492932310705
391,0.09565792535847953
392,0.07203414157753221
393,0.11444437522320315
394,0.18726472230462743
395,0.2313178827236616
396,0.2512720596824471
397,0.2887269696578774
398,0.3057531173479553
399,0.20863466522643298
400,0.15118718718
401,0.197418778171
402,0.10618007214475633
403,0.13427871988879758
404,0.15118718718
405,0.197418778171
406,0.10618007214475633
407,0.13427871988879758
408,0.15118718718
409,0.197418778171
410,0.10618007214475633
411,0.13427871988879758
412,0.15118718718
413,0.197418778171
414,0.10618007214475633
415,0.13427871988879758
416,0.15118718718
417,0.197418778171
418,0.10618007214475633
419,0.13427871988879758
420,0.0984187187
421,0.0984411787
422,0.05617817888
423,0.0984187187
424,0.0718857
425,0.051717817
426,0.078417187181
427,0.0984411787
428,0.05617817888
429,0.0984411787
430,0.05617817888
431,0.0984187187
432,0.0718857
433,0.051717817
434,0.078417187181
435,0.0984411787
436,0.05617817888
437,0.05617817888
438,0.0984187187
439,0.0718857
440,0.051717817
441,0.078417187181
442,0.0984411787
443,0.05617817888
444,0.49841817781
445,0.4984477
446,0.47187871
447,0.461781178
448,0.4984477
